,name_x,name_y
0,Noisecontrollers,Project One
1,Headhunterz,Noisecontrollers
2,Headhunterz,Project One
3,Headhunterz,D-Block & S-te-Fan
4,Headhunterz,Sound Rush
5,Headhunterz,B-Front
6,Wildstylez,Noisecontrollers
7,Wildstylez,Project One
8,Wildstylez,Bass Modulators
9,Wildstylez,Audiotricz
10,Wildstylez,Toneshifterz
11,Wildstylez,Psyko Punkz
12,Wildstylez,Frequencerz
13,Wildstylez,Zatox
14,Wildstylez,B-Front
15,Wildstylez,Coone
16,Wildstylez,Sound Rush
17,Wildstylez,Adrenalize
18,Wildstylez,Devin Wild
19,Wildstylez,KELTEK
20,Wildstylez,The Pitcher
21,Wildstylez,Wasted Penguinz
22,Sound Rush,Sephyx
23,Sound Rush,Project One
24,Sound Rush,Ecstatic
25,Sephyx,Rebourne
26,Sephyx,Ecstatic
27,Aftershock,Ecstatic
28,Aftershock,Clockartz
29,Aftershock,Invector
30,Aftershock,D-Attack
31,Project One,Rebourne
32,JGSW,Final Day
33,JGSW,Wiqtory
34,JGSW,A-RIZE
35,JGSW,Xense
36,JGSW,Aria
37,JGSW,Divinez
38,JGSW,Strixter
39,JGSW,Hypnose
40,JGSW,Solstice
41,A-RIZE,Aria
42,A-RIZE,Solstice
43,A-RIZE,Ecstatic
44,A-RIZE,Strixter
45,Final Day,A-RIZE
46,Final Day,Aria
47,Final Day,Thomas Christian
48,Final Day,Strixter
49,Adrenalize,Rebourne
50,Adrenalize,Sephyx
51,Adrenalize,Ecstatic
52,Adrenalize,Clockartz
53,Bass Modulators,Audiotricz
54,Bass Modulators,Sephyx
55,Bass Modulators,Toneshifterz
56,Bass Modulators,Adrenalize
57,Bass Modulators,Frequencerz
58,Bass Modulators,Project One
59,Bass Modulators,Devin Wild
60,Bass Modulators,Rebourne
61,Bass Modulators,Digital Punk
62,Bass Modulators,B-Front
63,Bass Modulators,ANDY SVGE
64,Bass X Machina,Wiqtory
65,Bass X Machina,Final Day
66,Bass X Machina,REVIVE
67,Bass X Machina,Divinez
68,Bass X Machina,Strixter
69,D-Block & S-te-Fan,Sound Rush
70,D-Block & S-te-Fan,D-Sturb
71,D-Block & S-te-Fan,B-Front
72,D-Block & S-te-Fan,Project One
73,D-Block & S-te-Fan,Noisecontrollers
74,Demi Kanon,Jay Reeve
75,Demi Kanon,ANDY SVGE
76,Demi Kanon,Galactixx
77,Demi Kanon,Xense
78,Demi Kanon,Unsenses
79,Demi Kanon,Solstice
80,Demi Kanon,Ecstatic
81,Demi Kanon,RVAGE
82,Demi Kanon,Pherato
83,Demi Kanon,Concept Art
84,Demi Kanon,Devin Wild
85,Demi Kanon,Sephyx
86,Demi Kanon,Clockartz
87,Demi Kanon,Cyber
88,Demi Kanon,JNXD
89,Devin Wild,Sephyx
90,Devin Wild,RVAGE
91,Devin Wild,Clockartz
92,Devin Wild,Audiotricz
93,Devin Wild,Adrenalize
94,Devin Wild,Jay Reeve
95,Devin Wild,Ecstatic
96,Devin Wild,Rebourne
97,Devin Wild,Aftershock
98,Devin Wild,Degos & Re-Done
99,DJ Isaac,Deepack
100,DJ Isaac,Toneshifterz
101,DJ Isaac,Audiotricz
102,DJ Isaac,Devin Wild
103,DJ Isaac,Project One
104,DJ Isaac,Sephyx
105,DJ Isaac,Digital Punk
106,DJ Isaac,Adrenalize
107,DJ Isaac,B-Front
108,Ghost Stories,Aftershock
109,Ghost Stories,Sephyx
110,Ghost Stories,Ecstatic
111,Ghost Stories,Sound Rush
112,KELTEK,Devin Wild
113,KELTEK,Sephyx
114,KELTEK,ANDY SVGE
115,KELTEK,Audiotricz
116,KELTEK,Clockartz
117,KELTEK,RVAGE
118,KELTEK,B-Front
119,KELTEK,Adrenalize
120,KELTEK,JDX
121,KELTEK,Aftershock
122,KELTEK,Hard Driver
123,KELTEK,JNXD
124,KELTEK,Digital Punk
125,KELTEK,Ecstatic
126,Lady Faith,Pherato
127,Lady Faith,Phrantic
128,Lady Faith,Concept Art
129,Lady Faith,Clockartz
130,Lady Faith,ANDY SVGE
131,Lady Faith,Rebourne
132,Lady Faith,D-Attack
133,Level One,Invector
134,Level One,REVIVE
135,The Prophet,Digital Punk
136,The Prophet,Toneshifterz
137,The Prophet,B-Front
138,The Prophet,Deepack
139,The Prophet,Crypsis
140,The Prophet,Frequencerz
141,The Prophet,Project One
142,The Prophet,Devin Wild
143,Zatox,Toneshifterz
144,Zatox,Project One
145,Zatox,Noisecontrollers
146,Zatox,Frequencerz
147,Zatox,Digital Punk
148,Zatox,B-Front
149,Zatox,Crypsis
150,Zatox,Audiotricz
151,Bright Visions,Dvastate
152,Bright Visions,Divinez
153,Bright Visions,Spectre
154,Bright Visions,Strixter
155,Bright Visions,Delius
156,Bright Visions,Radianze
157,Bright Visions,REVIVE
158,Divinez,Thomas Christian
159,Eternate,Bright Visions
160,Eternate,Divinez
161,Amentis,Xense
162,Amentis,Pherato
163,Amentis,Forever Lost
164,Amentis,Divinez
