,artist_id,name,popularity,num_followers
0,3gk0OYeLFWYupGFRHqLSR7,Showtek,61,473125
1,6UOk7DmvqlzWmo6gjhZvn6,Da Tweekaz,62,284309
2,5QySqc6yAFDx9m7fedFZmC,Brennan Heart,61,303707
3,4f0OXMMSxr0r8Ztx6CdpAl,Sub Zero Project,59,177945
4,6C0KWmCdqrLU2LzzWBPbOy,Headhunterz,58,496522
5,6L7a6wPGpvLtTwOsMLnF1z,D-Block & S-te-Fan,57,192693
6,1Wt63OMKtv6v2ivHuQLm2C,Coone,57,188262
7,7IFPeV5Ew63S7Hid0AjNgK,Sound Rush,56,72039
8,1CqOLQmjzVWXQTiIN5Wucs,TNT,53,43838
9,37jL2LnGjAkadOCszr8v7C,Technoboy,53,83730
10,2iRqqPkOyIvvb7qFZN1Onz,The Prophet,54,115391
11,3mZnhzeAyjpFhO3cIepzBr,Tuneboy,53,35629
12,0wr85NuJuAYZsRzP1lJgiV,Wildstylez,54,188931
13,2FmgW6Jee0JQKtb6EnBWCq,DJ Isaac,52,76513
14,1BpCQRsYuiRg1TXKR2SQe1,Refuzion,52,35909
15,1rpLzYzfrueWdkpcIunZQl,Hard Driver,52,59394
16,7AGSJihqYPhYy5QzMcwcQT,Phuture Noize,52,66487
17,0MBGxwmCdXdO26ojaNcT64,Atmozfears,51,91798
18,26JDxOz4FrVBX1AquFCzdp,TCM,51,8073
19,4LBa6kTLaQHiONCfTfTaXV,Toneshifterz,49,51171
20,27Z5l2Kfy1IaYZMg5INWqO,Zatox,49,159473
21,4FApejrnKXgmvrVmBMRO2l,Sub Sonik,48,25723
22,18pYFSeMi7sOL6nGMICHtS,Psyko Punkz,49,98506
23,77faXTf6wXs3L2CVol0c8C,E-Force,48,48121
24,52I8HbScEEvgwiiSDaM7gP,Audiotricz,47,39081
25,0I5is4tdxHhT3Ft2EzPjlB,Code Black,48,62516
26,7momuad2Twkv5O7MY3dODa,Frontliner,48,100036
27,05ndiewdJogtosuRWN8iwF,Adaro,48,58335
28,59VlEky6rgwrcluurlvspE,MANDY,46,33417
29,1Ok5WQlGEnuFOiUlpCKcVT,Wasted Penguinz,46,95465
30,6Xhhpra0X0hpvC3yZaQ0Du,B-Front,47,62430
31,6qJ61DomA73g7jQEKESw9Z,Noisecontrollers,47,151222
32,0WbAxASsYdodSlqwserDAW,Gunz For Hire,47,105462
33,4OPaH4YIqua9DUnI7t0fOQ,Mark With a K,49,71102
34,7FTQICqfx93tZdwZJb3wt2,Firelite,46,9294
35,1Od0hPnXSqA9pipLqNXJ7e,KELTEK,47,46071
36,6GebWeCCtey5pbQepRYD6c,Adrenalize,45,39155
37,2SA8IOL5sWtygCPVlPCgmP,Euphorizer,38,3605
38,2B3mYtzGes0f92Yfn4mVQD,Kronos,45,14527
39,7MXzeG7zoG8pKpqKCOqcZL,Sephyx,43,23983
40,4ksdbwHbqSmv7sWP3W6L21,Devin Wild,45,35816
41,5cPNMq5lKAoAKyv5kdpz9s,Frequencerz,45,76922
42,1Uk4IDpF1OIuTzANugS5JC,Bass Modulators,44,74110
43,18UStRMkfnMhX5Qxzhylej,MYST,41,22026
44,6bPXSfsHFvyltUwfqUrrLy,D-Charged,43,7116
45,6J6UF3GqOLdt6f4gfazSzf,Ghost Stories,44,24578
46,2voeq1SXqaRk45wpKHJhgz,Chain Reaction,40,8971
47,5lHeHJPYUJdDBXIApseBwO,Zany,44,28332
48,0BtiMLqwAvO3yHcPh5BWCS,Primeshock,43,13132
49,6KlY7jizsLWQcXR1F2Sn9j,Aftershock,42,16460
50,7tEAlsvmuaVnKQyswnonem,Ecstatic,42,8736
51,6kNykeJK1CTSW1zJYcAUvQ,Neolux,39,6031
52,5akubyqg9eYtnCtDEeJz2s,Dr Rude,43,16437
53,0hHKtZEXHNsXfgrNgU7Zkl,Audiofreq,39,30499
54,75jOSvJYkVT21xz5yll1xM,Thyron,41,19329
55,5AVdeI8lS5HS9VGV8AUyS4,Jay Reeve,40,8007
56,3GAHYVHU0HppTq2qgzejcv,Digital Punk,39,39199
57,1QsT3VKbdtjMxXoy9myb2X,The Pitcher,41,33267
58,5SxjKJ2HIg3dVQ427HYVHS,Bass Chaserz,41,13889
59,4FSHCrSzZlOrwOMmEInVwf,Stormerz,39,8396
60,33SlSV9Phemrs59SmjA2QC,Anklebreaker,39,2811
61,450u38hSRh0Q2UyghEbjpS,Galactixx,39,8830
62,7eS0sxPiRLeafMwpgLJml1,Imperatorz,39,11821
63,2UBCeOEjEhqNkm6IFzVV4D,Hypnose,36,3392
64,0MwTAzU4fDGGfrUAHzYwRJ,Demi Kanon,38,15691
65,0g6dKn3203m8rAtAyjIdZl,Deetox,36,27612
66,4jxFb0CASzyps1aMpZOxyi,Envine,35,8329
