,id,name,release_date,popularity,label
0,77CuS30UoAWQoV4W3noJ9o,Daydream,2022-08-04,22,Art of Creation
1,1aBr1v8aS3fealiWZv653k,Take It All - Headhunterz Remix,2021-11-11,37,Art of Creation
2,79GdxX7JrYTsz2t3t7bVDX,Radiance - Noisecontrollers Remix,2021-11-11,37,Art of Creation
3,7pqBr9kbcrFFzcF9zeJ7GE,Pillars Of Creation - Atmozfears & Sound Rush Remix,2021-11-04,16,Q-dance Records
4,005tP72uKB8aXA9UixWkXu,Youngblood - (Luvenī),2021-05-27,18,Art of Creation
5,4xfxj2jWPElSo3gYv1Eu5y,They Pretend,2021-03-25,19,Art of Creation
6,4297hT3aeoA3HgX0DIq45a,Shut Up - Jay Reeve Remix,2019-12-27,19,Art of Creation
7,3daAuNelKkUdv4bnbqYafZ,Promises - Union Remix,2019-12-27,19,Art of Creation
8,0iNIsiJLxEBeqCcKzvBT9A,Das Boot,2019-12-16,42,Roughstate
9,1PWV26P0WRrRpKWj3Z7KVy,200 Dreams,2019-12-05,26,Art of Creation
10,4FgZ4apF9eVuO5Sd453uRp,People Are Awesome,2019-12-05,26,Art of Creation
11,4CdehFLiXewAanR9nQAtco,The Approach - Orchestral Version,2019-09-30,8,Spirit of Hardstyle
12,5wJ9yyBH8xXJr15aFcmXgD,Shine,2019-08-14,21,Spirit of Hardstyle
13,18BAl8GInxnX79tbBWLM1N,Pyramid,2019-07-05,9,Spirit of Hardstyle
14,7kdUisUTnE8lSfai5Hnl12,Headlights,2019-05-31,27,Spirit of Hardstyle
15,2NhRktUSvqwPbG1WyNbtbD,The Time Has Come,2019-04-12,17,Spirit of Hardstyle
16,1WkTXvUhRsTXsQED0wLbUJ,The Last Formation - Hardbass 2019 Anthem,2019-01-09,0,b2s Records
17,1C1Wfe3nyPmZpt3Pm3zxoj,The Last Formation (Hard Bass 2019 Anthem) - Edit,2019-01-09,13,b2s Records
18,0wWX93dRXPYXvXaE9CCVMV,Vampire,2018-10-31,21,Minus is More
19,0BLh6iCggiRGYCvXtMGqNa,The Night,2018-07-27,17,Spirit of Hardstyle
20,22m8s46NAXv57mieMdJzii,This Is Our World,2018-06-15,17,Spirit of Hardstyle
21,1c7XUlVsPB8LYhjGf7fscL,Mumbai,2017-12-15,14,Spirit of Hardstyle
22,7nQ3VE44Bm9rv3PyTQyWIQ,You Know I Like It,2017-12-08,11,Spirit of Hardstyle
23,7IMfk8xhHFkhMeBfFltNOm,Whose Plan Is It,2017-11-03,15,Spirit of Hardstyle
24,3GiILnng1n2tw88XA2HRWq,Electric Solar,2017-09-29,12,Spirit of Hardstyle
25,4VRGAGx7SO8OqPxhEpNOHt,Strike As A Diehard (Official Q-Base Anthem 2017) - Edit,2017-08-21,15,Q-dance Records
26,6Ruyn7omPYDQOLgxLGNMwG,Strike As A Die Hard (Q-Base Anthem 2017) - Pro Mix,2017-08-21,15,Q-dance Records
27,2W05sihRSI6c4o3lnPT3jT,This Is Eternity,2017-08-18,20,Spirit of Hardstyle
